Start Time,End Time,Trip Duration,Start Station,End Station,Gender,Year
2017-05-07 11:14:27,2017-05-07 11:20:55,388,TT,SMV,Female,2
2017-06-29 17:56:46,2017-06-29 18:00:36,230,TT,Library,Female,1
2017-06-30 10:44:24,2017-06-30 11:11:03,1599,SJT,SMV,Male,1
2017-04-06 15:54:54,2017-04-06 16:00:06,312,SMV,SJT,Female,2
2017-03-26 11:40:10,2017-03-26 11:47:05,415,SMV,SJT,Male,1
2017-04-03 06:31:20,2017-04-03 06:43:33,733,GDN,SJT,Male,2
2017-06-21 06:45:13,2017-06-21 06:49:16,243,MB,SMV,Male,1
2017-05-05 17:49:23,2017-05-05 18:00:34,671,MB,TT,Male,2
2017-04-07 13:38:53,2017-04-07 13:44:05,312,MB,TT,Male,1
2017-06-18 16:17:10,2017-06-18 16:53:55,2205,MB,GDN,Female,1
2017-02-13 14:54:42,2017-02-13 15:09:05,863,B - Block,Foodies,Male,1
2017-05-25 17:24:53,2017-05-25 17:31:16,383,A - Block,Foodies,Male,2
2017-04-13 17:37:27,2017-04-13 17:59:29,1322,E - Block,Foodies,Female,2
2017-06-07 13:59:34,2017-06-07 14:02:55,201,F - Block,A - Block,Male,2
2017-02-06 09:36:50,2017-02-06 09:52:47,957,G - Block,Foodies,Female,3
2017-06-06 15:05:25,2017-06-06 15:08:42,197,G - Block,Foodies,Male,3
2017-05-18 16:39:09,2017-05-18 16:47:29,500,G - Block,G - Block,Male,3
2017-06-30 13:48:27,2017-06-30 14:13:56,1529,K - Block,SJT,Male,3
2017-05-26 06:04:08,2017-05-26 06:08:21,253,L - Block,SJT,Male,4
2017-06-12 09:43:25,2017-06-12 09:58:30,905,L - Block,SJT,Female,4
2017-06-25 15:09:23,2017-06-25 15:30:45,1282,K - Block,TT,Male,4
2017-06-12 06:43:37,2017-06-12 06:50:09,392,SMV,TT,Male,4
2017-06-21 08:22:37,2017-06-21 08:24:25,108,TT,SJT,Male,3
2017-03-19 22:39:20,2017-03-19 23:16:01,2201,TT,SMV,Female,3
2017-06-04 12:14:27,2017-06-04 12:39:39,1512,TT,SMV,Female,2
2017-06-05 17:39:03,2017-06-05 18:09:34,1831,SJT,GDN,Female,3
2017-04-23 14:28:35,2017-04-23 15:00:52,1937,SJT,MB,Male,2
2017-02-18 13:35:55,2017-02-18 14:13:54,2279,SJT,MB,Male,2
2017-04-21 19:13:20,2017-04-21 19:25:37,737,SJT,Library,Male,2
2017-04-18 21:23:07,2017-04-18 21:50:43,1656,GDN,SMV,Female,3
2017-05-08 17:29:05,2017-05-08 17:39:32,627,GDN,SJT,Male,2
2017-06-09 08:56:11,2017-06-09 08:59:03,172,GDN,SJT,Female,2
2017-01-24 10:51:56,2017-01-24 11:12:04,1208,MB,SJT,Male,3
2017-05-08 12:00:14,2017-05-08 12:07:23,429,MB,SMV,Male,2
2017-03-24 15:32:04,2017-03-24 15:52:53,1249,MB,TT,Female,3
2017-06-02 05:52:12,2017-06-02 05:55:55,223,F - Block,TT,Male,2
2017-06-30 21:03:10,2017-06-30 21:27:49,1479,Foodies,TT,Male,1
2017-03-29 18:02:41,2017-03-29 18:09:11,390,Foodies,TT,Male,2
2017-04-02 14:39:44,2017-04-02 15:01:54,1330,Foodies,SJT,Male,1
2017-05-22 11:44:34,2017-05-22 12:08:13,1419,Foodies,SJT,Male,1
2017-05-22 11:44:34,2017-05-22 12:08:13,1234,Foodies,SMV,Male,4
