Start Time,End Time,Trip Duration,Start Station,End Station,Gender,Year
2017-06-05 11:32:28,2017-06-05 11:38:24,356.295,SJT,G - Block,Male,3
2017-03-30 15:23:00,2017-03-30 15:34:00,663.594,SMV,F - Block,Male,2
2017-04-18 08:43:27,2017-04-18 08:46:32,185.352,TT,SJT,Male,2
2017-05-09 08:10:22,2017-05-09 08:24:15,833.419,TT,L - Block,Male,2
2017-02-24 19:02:00,2017-02-24 19:09:00,447.748,GDN,A - Block,Male,2
2017-06-01 04:41:13,2017-06-01 04:54:27,794.122,Foodies,TT,Male,2
2017-02-08 13:11:00,2017-02-08 13:15:00,238.658,Foodies,SMV,Male,2
2017-02-19 10:01:00,2017-02-19 10:10:00,587.051,Foodies,GDN,Male,2
2017-02-19 22:54:00,2017-02-19 23:40:00,2728.726,F - Block,SJT,Female,1
2017-04-13 04:52:18,2017-04-13 05:14:00,1302.578,Foodies,SJT,Female,1
2017-04-20 02:30:31,2017-04-20 03:04:51,2060.018,Foodies,TT,Male,1
2017-06-13 09:20:29,2017-06-13 09:25:55,326.177,G - Block,TT,Male,1
2017-06-14 09:00:17,2017-06-14 09:03:56,219.023,SJT,GDN,Female,1
2017-06-13 02:06:02,2017-06-13 02:15:13,550.647,SJT,TT,Female,2
2017-01-11 20:00:00,2017-01-11 20:03:00,127.729,SJT,TT,Male,2
2017-03-02 21:51:00,2017-03-02 22:00:00,543.56,TT,SMV,Female,2
2017-06-12 05:53:14,2017-06-12 05:59:24,369.58,TT,Library,Female,1
2017-03-06 16:56:00,2017-03-06 16:59:00,216.303,SJT,SMV,Male,1
2017-01-26 19:28:00,2017-01-26 19:32:00,268.783,SMV,SJT,Female,2
2017-03-08 18:29:00,2017-03-08 18:39:00,568.243,SMV,SJT,Male,1
2017-05-07 03:55:07,2017-05-07 04:14:50,1182.397,GDN,SJT,Male,2
2017-04-09 12:04:26,2017-04-09 02:26:32,8525.019,MB,SMV,Male,1
2017-05-07 12:35:42,2017-05-07 01:20:29,2686.536,MB,TT,Male,2
2017-06-29 05:24:53,2017-06-29 05:51:23,1590.865,MB,TT,Male,1
2017-03-24 13:27:00,2017-03-24 13:29:00,112.686,MB,GDN,Female,1
2017-01-12 10:36:00,2017-01-12 10:46:00,561.007,B - Block,Foodies,Male,1
2017-04-26 05:46:01,2017-04-26 06:08:14,1332.851,A - Block,Foodies,Male,2
2017-03-25 20:42:00,2017-03-25 21:18:00,2171.291,E - Block,Foodies,Female,2
2017-02-17 15:10:00,2017-02-17 15:15:00,324.328,F - Block,A - Block,Male,2
2017-03-08 11:50:00,2017-03-08 11:56:00,381.596,G - Block,Foodies,Female,3
2017-05-20 04:43:44,2017-05-20 05:05:36,1311.574,G - Block,Foodies,Male,3
2017-03-24 21:21:00,2017-03-24 21:39:00,1026.575,G - Block,G - Block,Male,3
2017-02-10 07:03:00,2017-02-10 07:09:00,343.03,K - Block,SJT,Male,3
2017-06-09 07:54:56,2017-06-09 08:06:05,669.147,L - Block,SJT,Male,4
2017-04-18 08:08:39,2017-04-18 08:35:39,1619.422,L - Block,SJT,Female,4
2017-02-06 07:21:00,2017-02-06 07:29:00,477.67,K - Block,TT,Male,4
2017-02-09 23:07:00,2017-02-09 23:13:00,343.523,SMV,TT,Male,4
2017-05-18 06:19:12,2017-05-18 06:29:09,597.42,TT,SJT,Male,3
2017-06-14 05:35:44,2017-06-14 05:41:23,338.574,TT,SMV,Female,3
2017-04-16 07:39:55,2017-04-16 07:51:31,696.4,TT,SMV,Female,2
2017-03-06 18:04:00,2017-03-06 18:23:00,1170.388,SJT,GDN,Female,3
2017-06-04 01:08:49,2017-06-04 01:12:59,249.727,SJT,MB,Male,2
2017-03-06 11:59:00,2017-03-06 12:03:00,199.431,SJT,MB,Male,2
2017-06-04 10:30:35,2017-06-04 10:43:41,786.43,SJT,Library,Male,2
2017-04-17 04:01:34,2017-04-17 04:05:53,258.932,GDN,SMV,Female,3
2017-05-31 08:00:30,2017-05-31 08:12:36,726.087,GDN,SJT,Male,2
2017-04-26 05:07:57,2017-04-26 05:17:15,558.155,GDN,SJT,Female,2
2017-04-02 04:41:33,2017-04-02 04:57:04,931.596,MB,SJT,Male,3
2017-06-17 01:37:17,2017-06-17 02:37:40,3623.547,MB,SMV,Male,2
2017-06-17 03:25:22,2017-06-17 03:36:36,674.428,MB,TT,Female,3
2017-05-01 08:14:41,2017-05-01 08:22:19,458.207,F - Block,TT,Male,2
2017-06-25 06:44:07,2017-06-25 07:04:05,1198.104,Foodies,TT,Male,1
2017-03-03 23:27:00,2017-03-03 23:32:00,318.422,Foodies,TT,Male,2
2017-04-14 08:18:57,2017-04-14 09:09:29,3032.331,Foodies,SJT,Male,1
2017-04-04 04:51:59,2017-04-04 05:04:28,748.496,Foodies,SJT,Male,1
2017-04-04 04:51:59,2017-04-04 05:04:28,1234,SMV,SJT,Female,3
